run_index,seed,wave_number,enemy_def_id,spawned,killed,passed,total_hp,duration_sec,success,game_over,success_lvl_before,success_lvl_after,player_hp_before,player_hp_after,ore_spent,enemy_abilities,enemy_base_speed,enemy_base_hp,enemy_regen_base,enemy_flying,source_wave
0,1416710971,36,ENEMY_TOUGH_2,20,20,0,354504,320.317,1,0,10,11,100,100,250.0,,77,338,40.00,0,34
1,1416710972,36,ENEMY_NORMAL_2,55,55,0,267795,125.317,1,0,10,11,100,100,139.4,rush,evasion,80,107,15.00,0,37
2,1416710973,36,ENEMY_TANK,12,1,11,241056,288.600,0,0,10,6,100,56,254.8,kraken_shell,80,1116,25.00,0,36
3,1416710974,36,ENEMY_TANK,12,7,5,241056,299.867,0,0,10,9,100,80,217.4,kraken_shell,80,1116,25.00,0,36
4,1416710975,36,ENEMY_TOUGH,12,12,0,253188,233.350,1,0,10,11,100,100,166.2,,75,208,24.00,0,31
5,1416710976,36,ENEMY_PHYSICAL_RESIST_2,10,10,0,235344,238.383,1,0,10,11,100,100,216.7,reactive_armor,80,216,35.00,0,39
6,1416710977,36,ENEMY_NORMAL_2,12,12,0,256530,243.217,1,0,10,11,100,100,148.5,reflection,ivasion,80,107,48.00,0,33
7,1416710978,36,ENEMY_MAGIC_RESIST_2,10,10,0,235344,237.350,1,0,10,11,100,100,230.0,reactive_armor,80,201,35.00,0,39
8,1416710979,36,ENEMY_TOUGH,15,14,1,554152,314.200,0,0,10,10,100,96,220.0,blink,75,208,30.00,0,35
9,1416710980,36,ENEMY_FLYING,12,11,1,256530,303.350,0,0,10,10,100,94,254.5,reflection,ivasion,93,78,48.00,1,33
10,1416710981,36,ENEMY_MAGIC_RESIST_2,12,12,0,231204,288.467,1,0,10,11,100,100,297.1,evasion,hus,80,201,30.00,0,32
11,1416710982,36,ENEMY_TOUGH_2,20,20,0,179220,218.317,1,0,10,11,100,100,220.8,hus,77,338,40.00,0,38
12,1416710983,36,ENEMY_TOUGH_2,20,20,0,354504,195.750,1,0,10,11,100,100,193.5,,77,338,40.00,0,34
13,1416710984,36,ENEMY_TOUGH,15,15,0,286850,183.883,1,0,10,11,100,100,150.3,blink,75,208,30.00,0,35
14,1416710985,36,ENEMY_TANK,12,4,8,241056,288.950,0,0,10,7,100,68,237.7,kraken_shell,80,1116,25.00,0,36
15,1416710986,36,ENEMY_PHYSICAL_RESIST_2,15,15,0,286850,196.817,1,0,10,11,100,100,166.6,blink,80,216,30.00,0,35
16,1416710987,36,ENEMY_TOUGH_2,20,20,0,179220,217.733,1,0,10,11,100,100,197.9,hus,77,338,40.00,0,38
17,1416710988,36,ENEMY_MAGIC_RESIST_2,10,10,0,235344,239.617,1,0,10,11,100,100,209.3,reactive_armor,80,201,35.00,0,39
18,1416710989,36,ENEMY_TANK,12,3,9,241056,278.900,0,0,10,6,100,63,237.1,kraken_shell,80,1116,25.00,0,36
19,1416710990,36,ENEMY_NORMAL_2,55,55,0,267795,109.883,1,0,10,11,100,100,134.0,rush,evasion,80,107,15.00,0,37
20,1416710991,36,ENEMY_TOUGH_2,20,20,0,179220,276.550,1,0,10,11,100,100,228.5,hus,77,338,40.00,0,38
21,1416710992,36,ENEMY_NORMAL_2,55,55,0,267795,112.167,1,0,10,11,100,100,137.9,rush,evasion,80,107,15.00,0,37
22,1416710993,36,ENEMY_FLYING,12,10,2,256530,229.350,0,0,10,9,100,88,196.5,reflection,ivasion,93,78,48.00,1,33
23,1416710994,36,ENEMY_TANK,12,5,7,241056,293.267,0,0,10,7,100,72,242.3,kraken_shell,80,1116,25.00,0,36
24,1416710995,36,ENEMY_TOUGH,12,12,0,253188,227.350,1,0,10,11,100,100,176.7,,75,208,24.00,0,31
25,1416710996,36,ENEMY_TOUGH_2,20,20,0,202030,188.683,1,0,10,11,100,100,171.9,,77,338,40.00,0,34
26,1416710997,36,ENEMY_TOUGH_2,20,20,0,202030,183.000,1,0,10,11,100,100,170.3,,77,338,40.00,0,34
27,1416710998,36,ENEMY_TOUGH,15,15,0,286850,163.950,1,0,10,11,100,100,148.9,blink,75,208,30.00,0,35
28,1416710999,36,ENEMY_MAGIC_RESIST_2,12,12,0,231204,244.600,1,0,10,11,100,100,225.1,evasion,hus,80,201,30.00,0,32
29,1416711000,36,ENEMY_TANK,12,2,10,241056,283.700,0,0,10,6,100,60,225.8,kraken_shell,80,1116,25.00,0,36
30,1416711001,36,ENEMY_PHYSICAL_RESIST_2,10,10,0,235344,241.433,1,0,10,11,100,100,195.1,reactive_armor,80,216,35.00,0,39
31,1416711002,36,ENEMY_TOUGH_2,20,20,0,304674,278.767,1,0,10,11,100,100,238.7,hus,77,338,40.00,0,38
32,1416711003,36,ENEMY_TOUGH_2,20,20,0,202030,178.917,1,0,10,11,100,100,169.2,,77,338,40.00,0,34
