run_index,seed,wave_number,enemy_def_id,spawned,killed,passed,total_hp,duration_sec,success,game_over,success_lvl_before,success_lvl_after,player_hp_before,player_hp_after,ore_spent,enemy_abilities,enemy_base_speed,enemy_base_hp,enemy_regen_base,enemy_flying,source_wave
0,1416710971,7,ENEMY_FAST,15,15,0,5730,25.083,1,0,10,11,100,100,11.6,,160,91,0.00,0,8
1,1416710972,7,ENEMY_MAGIC_RESIST,12,12,0,6228,17.750,1,0,10,11,100,100,6.4,,80,201,0.00,0,6
2,1416710973,7,ENEMY_NORMAL_WEAK_2,30,30,0,3210,20.417,1,0,10,11,100,100,8.3,evasion,80,46,0.00,0,9
3,1416710974,7,ENEMY_NORMAL_WEAK_2,30,30,0,3210,20.417,1,0,10,11,100,100,8.4,evasion,80,46,0.00,0,9
4,1416710975,7,ENEMY_PHYSICAL_RESIST,11,11,0,5489,74.367,1,0,10,11,100,100,29.0,,80,196,0.00,0,7
5,1416710976,7,ENEMY_MAGIC_RESIST,12,12,0,6228,17.750,1,0,10,11,100,100,6.4,,80,201,0.00,0,6
6,1416710977,7,ENEMY_MAGIC_RESIST,12,12,0,6228,17.750,1,0,10,11,100,100,6.4,,80,201,0.00,0,6
7,1416710978,7,ENEMY_MAGIC_RESIST,12,12,0,6228,17.750,1,0,10,11,100,100,6.4,,80,201,0.00,0,6
8,1416710979,7,ENEMY_PHYSICAL_RESIST,11,11,0,5489,66.050,1,0,10,11,100,100,27.8,,80,196,0.00,0,7
9,1416710980,7,ENEMY_FAST,15,15,0,5730,25.050,1,0,10,11,100,100,11.6,,160,91,0.00,0,8
10,1416710981,7,ENEMY_MAGIC_RESIST,12,12,0,6228,17.750,1,0,10,11,100,100,6.4,,80,201,0.00,0,6
11,1416710982,7,ENEMY_FAST,15,15,0,5730,25.050,1,0,10,11,100,100,11.5,,160,91,0.00,0,8
12,1416710983,7,ENEMY_PHYSICAL_RESIST,11,11,0,5489,74.417,1,0,10,11,100,100,29.4,,80,196,0.00,0,7
13,1416710984,7,ENEMY_FAST,15,15,0,5730,25.083,1,0,10,11,100,100,11.6,,160,91,0.00,0,8
14,1416710985,7,ENEMY_MAGIC_RESIST,12,12,0,6228,17.750,1,0,10,11,100,100,6.4,,80,201,0.00,0,6
15,1416710986,7,ENEMY_PHYSICAL_RESIST,11,11,0,5489,74.417,1,0,10,11,100,100,29.4,,80,196,0.00,0,7
