run_index,seed,wave_number,enemy_def_id,spawned,killed,passed,total_hp,duration_sec,success,game_over,success_lvl_before,success_lvl_after,player_hp_before,player_hp_after,ore_spent,enemy_abilities,enemy_base_speed,enemy_base_hp,enemy_regen_base,enemy_flying,source_wave
0,2895316556,4,ENEMY_TOUGH,9,8,1,1026,84.417,0,0,10,9,100,92,12.1,,75,260,0.00,0,4
1,2895316557,4,ENEMY_TOUGH,9,5,4,1026,85.417,0,0,10,8,100,67,12.2,,75,260,0.00,0,4
2,2895316558,4,ENEMY_TOUGH,9,5,4,1026,85.417,0,0,10,8,100,68,12.2,,75,260,0.00,0,4
3,2895316559,4,ENEMY_TOUGH,9,8,1,1026,84.417,0,0,10,9,100,92,12.1,,75,260,0.00,0,4
4,2895316560,4,ENEMY_TOUGH,9,5,4,1026,85.417,0,0,10,8,100,68,12.2,,75,260,0.00,0,4
5,2895316561,4,ENEMY_TOUGH,9,5,4,1026,85.417,0,0,10,8,100,67,12.2,,75,260,0.00,0,4
6,2895316562,4,ENEMY_TOUGH,9,8,1,1026,84.417,0,0,10,9,100,91,12.1,,75,260,0.00,0,4
7,2895316563,4,ENEMY_TOUGH,9,8,1,1026,84.417,0,0,10,9,100,92,12.1,,75,260,0.00,0,4
8,2895316564,4,ENEMY_TOUGH,9,8,1,1026,84.417,0,0,10,9,100,92,12.1,,75,260,0.00,0,4
9,2895316565,4,ENEMY_TOUGH,9,8,1,1026,84.417,0,0,10,9,100,91,12.1,,75,260,0.00,0,4
10,2895316566,4,ENEMY_TOUGH,9,5,4,1026,85.417,0,0,10,8,100,68,12.2,,75,260,0.00,0,4
11,2895316567,4,ENEMY_TOUGH,9,5,4,1026,85.417,0,0,10,8,100,68,12.2,,75,260,0.00,0,4
12,2895316568,4,ENEMY_TOUGH,9,8,1,1026,84.417,0,0,10,9,100,92,12.1,,75,260,0.00,0,4
13,2895316569,4,ENEMY_TOUGH,9,8,1,1026,84.417,0,0,10,9,100,91,12.0,,75,260,0.00,0,4
14,2895316570,4,ENEMY_TOUGH,9,8,1,1026,84.417,0,0,10,9,100,92,12.1,,75,260,0.00,0,4
15,2895316571,4,ENEMY_TOUGH,9,8,1,1026,84.417,0,0,10,9,100,92,12.1,,75,260,0.00,0,4
16,2895316572,4,ENEMY_TOUGH,9,5,4,1026,85.417,0,0,10,8,100,68,12.2,,75,260,0.00,0,4
17,2895316573,4,ENEMY_TOUGH,9,8,1,1026,84.417,0,0,10,9,100,92,12.0,,75,260,0.00,0,4
18,2895316574,4,ENEMY_TOUGH,9,8,1,1026,84.417,0,0,10,9,100,92,12.1,,75,260,0.00,0,4
19,2895316575,4,ENEMY_TOUGH,9,5,4,1026,85.417,0,0,10,8,100,68,12.2,,75,260,0.00,0,4
20,2895316576,4,ENEMY_TOUGH,9,8,1,1026,84.417,0,0,10,9,100,91,12.1,,75,260,0.00,0,4
21,2895316577,4,ENEMY_TOUGH,9,5,4,1026,85.417,0,0,10,8,100,68,12.2,,75,260,0.00,0,4
22,2895316578,4,ENEMY_TOUGH,9,5,4,1026,85.417,0,0,10,8,100,67,12.2,,75,260,0.00,0,4
23,2895316579,4,ENEMY_TOUGH,9,8,1,1026,84.417,0,0,10,9,100,91,12.1,,75,260,0.00,0,4
24,2895316580,4,ENEMY_TOUGH,9,8,1,1026,84.417,0,0,10,9,100,92,12.1,,75,260,0.00,0,4
25,2895316581,4,ENEMY_TOUGH,9,5,4,1026,85.417,0,0,10,8,100,68,12.2,,75,260,0.00,0,4
26,2895316582,4,ENEMY_TOUGH,9,8,1,1026,84.417,0,0,10,9,100,92,12.1,,75,260,0.00,0,4
27,2895316583,4,ENEMY_TOUGH,9,5,4,1026,85.417,0,0,10,8,100,67,12.2,,75,260,0.00,0,4
28,2895316584,4,ENEMY_TOUGH,9,5,4,1026,85.417,0,0,10,8,100,68,12.2,,75,260,0.00,0,4
29,2895316585,4,ENEMY_TOUGH,9,8,1,1026,84.417,0,0,10,9,100,92,12.1,,75,260,0.00,0,4
30,2895316586,4,ENEMY_TOUGH,9,5,4,1026,85.417,0,0,10,8,100,68,12.2,,75,260,0.00,0,4
31,2895316587,4,ENEMY_TOUGH,9,8,1,1026,84.417,0,0,10,9,100,92,12.1,,75,260,0.00,0,4
32,2895316588,4,ENEMY_TOUGH,9,5,4,1026,85.417,0,0,10,8,100,67,12.2,,75,260,0.00,0,4
33,2895316589,4,ENEMY_TOUGH,9,5,4,1026,85.417,0,0,10,8,100,67,12.2,,75,260,0.00,0,4
34,2895316590,4,ENEMY_TOUGH,9,8,1,1026,84.417,0,0,10,9,100,92,12.1,,75,260,0.00,0,4
35,2895316591,4,ENEMY_TOUGH,9,5,4,1026,85.417,0,0,10,8,100,67,12.2,,75,260,0.00,0,4
36,2895316592,4,ENEMY_TOUGH,9,5,4,1026,85.417,0,0,10,8,100,67,12.2,,75,260,0.00,0,4
37,2895316593,4,ENEMY_TOUGH,9,8,1,1026,84.417,0,0,10,9,100,92,12.1,,75,260,0.00,0,4
38,2895316594,4,ENEMY_TOUGH,9,5,4,1026,85.417,0,0,10,8,100,67,12.2,,75,260,0.00,0,4
39,2895316595,4,ENEMY_TOUGH,9,5,4,1026,85.417,0,0,10,8,100,68,12.2,,75,260,0.00,0,4
40,2895316596,4,ENEMY_TOUGH,9,8,1,1026,84.417,0,0,10,9,100,92,12.0,,75,260,0.00,0,4
41,2895316597,4,ENEMY_TOUGH,9,8,1,1026,84.417,0,0,10,9,100,92,12.1,,75,260,0.00,0,4
